title,Год выпуска,Поколение,Пробег,История пробега,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Оценка,пробег_история,ДТП,другое_история,тех_история,sold,Метро,ПТС
"Kia Rio 1.6 AT, 2017, 102 000 км, с пробегом, цена 1 055 000 руб. - Автомобили в Москве",2017,IV (2017—2020),102 000 км,5 записей в отчёте Автотеки,1,Не битый,1.6 AT (123 л.с.),1.6 л,Бензин,Автомат,Передний,Prestige,Седан,Чёрный,Левый,Z94C*************,Возможен,1 055 000 ₽ — цена ниже Авито Оценки,5 записей с 2021 года,ДТП не найдены,1 владелец по ПТС,,2 раза продавался на Авито,Волоколамская:16–20 мин.;Мякинино:от 31 мин.;Тушинская:от 31 мин.,
"Volkswagen Tiguan 1.4 AMT, 2019, 38 000 км, с пробегом, цена 2 790 000 руб. - Автомобили в Москве",2019,II (2016—2020),38 000 км,3 записи в отчёте Автотеки,1,Не битый,1.4 TSI DSG (150 л.с.),1.4 л,Бензин,Робот,Передний,Winter Edition,Внедорожник 5-дверный,Коричневый,Левый,XW8Z*************,Не интересует,2 790 000 ₽ — цена выше Авито Оценки,3 записи с 2021 года,ДТП не найдены,1 владелец по ПТС,2 записи с описанием работ,1 раз продавался на Авито,Юго-Восточная:11–15 мин.;Косино:21–30 мин.;Лермонтовский проспект:21–30 мин.,Электронный
"Lexus LX 5.7 AT, 2012, 210 000 км, с пробегом, цена 4 390 000 руб. - Автомобили в Москве",2012,J200 рестайлинг (2012—2015),210 000 км,13 записей в отчёте Автотеки,3,Не битый,LX 570 5.7 4WD AT (367 л.с.),5.7 л,Бензин,Автомат,Полный,Luxury Sport,Внедорожник 5-дверный,Чёрный,Левый,JTJH*************,Не интересует,4 390 000 ₽ — цена выше Авито Оценки,13 записей с 2016 года,,,12 записей с описанием работ,,Улица Горчакова:от 31 мин.;Бунинская аллея:от 31 мин.;Бульвар адмирала Ушакова:от 31 мин.,Оригинал
"Iveco Daily 3.0 MT, 2017, 200 000 км, с пробегом, цена 3 600 000 руб. - Автомобили в Москве",2017,VI (2014—2024),200 000 км,5 записей в отчёте Автотеки,2,Не битый,3.0 D MT (146 л.с.),3 л,Дизель,Механика,Задний,Базовая,Фургон,Белый,Левый,XD24*************,Не интересует,3 600 000 ₽ — цена выше Авито Оценки,5 записей с 2022 года,,,,3 раза продавался на Авито,Улица Старокачаловская:до 5 мин.;Бульвар Дмитрия Донского:до 5 мин.;Лесопарковая:21–30 мин.,Оригинал
"MINI Cooper S 2.0 AT, 2014, 110 000 км, с пробегом, цена 1 750 000 руб. - Автомобили в Москве",2014,III (2013—2018),110 000 км,43 записи в отчёте Автотеки,4+,Не битый,2.0 AT (192 л.с.),2 л,Бензин,Автомат,Передний,Cooper S,Хетчбек 5-дверный,Синий,Левый,WMWX*************,Возможен,1 750 000 ₽ — цена выше Авито Оценки,43 записи с 2016 года,,4 владельца по ПТС,41 запись с описанием работ,4 раза продавался на Авито,Селигерская:до 5 мин.;Яхромская:16–20 мин.;Верхние Лихоборы:16–20 мин.,Оригинал
"Toyota Land Cruiser Prado 3.0 AT, 2015, 140 000 км, с пробегом, цена 3 099 000 руб. - Автомобили в Москве",2015,150 рестайлинг (2013—2017),140 000 км,29 записей в отчёте Автотеки,1,Не битый,3.0 D AT (173 л.с.),3 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Белый,Левый,RUTB*************,Возможен,3 099 000 ₽ — соответствует оценке Авито,29 записей с 2015 года,ДТП не найдены,1 владелец по ПТС,27 записей с описанием работ,1 раз продавался на Авито,Южная:11–15 мин.;Чертановская:21–30 мин.;Пражская:21–30 мин.,
"Hyundai Grand Starex 2.5 AT, 2011, 170 000 км, с пробегом, цена 1 620 000 руб. - Автомобили в Москве",2011,I (2007—2015),170 000 км,3 записи в отчёте Автотеки,4+,Не битый,2.5 CRDi AT (145 л.с.),2.5 л,Дизель,Автомат,Задний,Базовая,Минивэн,Чёрный,Левый,KMJW*************,Возможен,1 620 000 ₽ — цена выше Авито Оценки,3 записи с 2022 года,ДТП не найдены,4 владельца по ПТС,,2 раза продавался на Авито,Южная:6–10 мин.;Пражская:6–10 мин.;Улица академика Янгеля:от 31 мин.,
"Nissan X-Trail 1.5 CVT, 2021, 12 409 км, с пробегом, цена 3 450 000 руб. - Автомобили в Москве",2021,IV (2021—2024),12 409 км,,1,Не битый,1.5 4WD CVT (204 л.с.),1.5 л,Бензин,Вариатор,Полный,Extreme Edition,Внедорожник 5-дверный,Серый,Левый,LGBM*************,0,,,,,,,Варшавская:16–20 мин.;Нагорная:21–30 мин.;Нахимовский проспект:21–30 мин.,
"Mercedes-Benz M-класс 3.0 AT, 2011, 184 000 км, с пробегом, цена 1 450 000 руб. - Автомобили в Москве",2011,W164 рестайлинг (2008—2011),184 000 км,52 записи в отчёте Автотеки,4+,Не битый,ML 300d 3.0 4MATIC 7G-Tronic (190 л.с.),3 л,Дизель,Автомат,Полный,Особая серия,Внедорожник 5-дверный,Серый,Левый,WDC1*************,Возможен,1 450 000 ₽ — соответствует оценке Авито,52 записи с 2013 года,,4 владельца по ПТС,47 записей с описанием работ,7 раз продавался на Авито,Новохохловская:11–15 мин.;Нижегородская:21–30 мин.;Волгоградский проспект:от 31 мин.,Оригинал
"LiXiang L9 1.5 AT, 2024, 1 км, с пробегом, цена 8 510 000 руб. - Автомобили в Москве",2024,I рестайлинг (2024—2024),1 км,,1,Не битый,1.5hyb 4WD AT (449 л.с.),1.5 л,Гибрид,Автомат,Полный,Ultra,Внедорожник 5-дверный,Чёрный,Левый,HLX3*************,0,,,,,,,Шелепиха:6–10 мин.;Международная:11–15 мин.;Деловой центр:11–15 мин.,Оригинал
"Mercedes-Benz GL-класс 3.0 AT, 2013, 191 000 км, с пробегом, цена 3 245 000 руб. - Автомобили в Москве",2013,X166 (2012—2016),191 000 км,12 записей в отчёте Автотеки,3,Не битый,GL 350d 3.0 4MATIC 7G-Tronic (249 л.с.),3 л,Дизель,Автомат,Полный,Особая серия,Внедорожник 5-дверный,Коричневый,Левый,WDC1*************,Не интересует,3 245 000 ₽ — цена выше Авито Оценки,12 записей с 2017 года,,3 владельца по ПТС,2 записи с описанием работ,3 раза продавался на Авито,Озёрная:11–15 мин.;Аминьевская:от 31 мин.;Говорово:от 31 мин.,Оригинал
"Land Rover Discovery 3.0 AT, 2017, 102 000 км, с пробегом, цена 3 700 000 руб. - Автомобили в Москве",2017,V (2017—2021),102 000 км,5 записей в отчёте Автотеки,1,Не битый,3.0 TD AT (258 л.с.),3 л,Дизель,Автомат,Полный,Base,Внедорожник 5-дверный,Серый,Левый,SALR*************,Возможен,,5 записей с 2021 года,ДТП не найдены,1 владелец по ПТС,,2 раза продавался на Авито,Новокосино:21–30 мин.;Улица Дмитриевского:от 31 мин.;Косино:от 31 мин.,Оригинал
"Kia Rio 1.6 AT, 2016, 73 175 км, с пробегом, цена 1 050 000 руб. - Автомобили в Москве",2016,III рестайлинг (2015—2017),73 175 км,6 записей в отчёте Автотеки,1,Не битый,1.6 AT (123 л.с.),1.6 л,Бензин,Автомат,Передний,Comfort Audio,Седан,Серебряный,Левый,Z94C*************,0,1 050 000 ₽ — цена ниже Авито Оценки,6 записей с 2019 года,ДТП не найдены,1 владелец по ПТС,,1 раз продавался на Авито,Зябликово:21–30 мин.;Красногвардейская:21–30 мин.;Домодедовская:от 31 мин.,
"Infiniti FX37 3.7 AT, 2011, 285 994 км, с пробегом, цена 1 975 000 руб. - Автомобили в Москве",2011,II (2008—2012),285 994 км,12 записей в отчёте Автотеки,3,Не битый,3.7 4WD AT (333 л.с.),3.7 л,Бензин,Автомат,Полный,Hi-tech + Black Quartz,Внедорожник 5-дверный,Чёрный,Левый,JN1T*************,Возможен,1 975 000 ₽ — цена выше Авито Оценки,12 записей с 2014 года,,,5 записей с описанием работ,,Ростокино:11–15 мин.;Ботанический сад:16–20 мин.;ВДНХ:21–30 мин.,Оригинал
"BMW X6 3.0 AT, 2020, 36 500 км, с пробегом, цена 10 500 000 руб. - Автомобили в Москве",2020,G06 (2019—2023),36 500 км,4 записи в отчёте Автотеки,1,Не битый,40d 3.0 Steptronic (340 л.с.),3 л,Дизель,Автомат,Полный,M Sport Pro,Внедорожник 5-дверный,Белый,Левый,X4XT*************,Не интересует,10 500 000 ₽ — цена выше Авито Оценки,4 записи с 2021 года,,1 владелец по ПТС,7 записей с описанием работ,,Охотный ряд:до 5 мин.;Театральная:до 5 мин.;Площадь революции:до 5 мин.,Оригинал
"Nissan Murano 3.5 CVT, 2013, 187 000 км, с пробегом, цена 1 420 000 руб. - Автомобили в Москве",2013,Z51 рестайлинг 2 (2011—2015),187 000 км,11 записей в отчёте Автотеки,4+,Не битый,3.5 4WD CVT (249 л.с.),3.5 л,Бензин,Вариатор,Полный,SE+,Внедорожник 5-дверный,Серый,Левый,Z8NT*************,Не интересует,1 420 000 ₽ — соответствует оценке Авито,11 записей с 2017 года,,6 владельцев по ПТС,,3 раза продавался на Авито,Марксистская:6–10 мин.;Таганская:6–10 мин.;Крестьянская застава:11–15 мин.,Дубликат
"Volkswagen Touran 1.4 AMT, 2012, 129 000 км, с пробегом, цена 899 000 руб. - Автомобили в Москве",2012,II (2010—2015),129 000 км,22 записи в отчёте Автотеки,2,Не битый,1.4 TSI DSG (140 л.с.),1.4 л,Бензин,Робот,Передний,Highline,Минивэн,Коричневый,Левый,WVGZ*************,Возможен,899 000 ₽ — цена ниже Авито Оценки,22 записи с 2014 года,,,14 записей с описанием работ,3 раза продавался на Авито,Южная:11–15 мин.;Чертановская:21–30 мин.;Пражская:21–30 мин.,
"Kia Sportage 2.0 AT, 2016, 84 452 км, с пробегом, цена 1 250 000 руб. - Автомобили в Москве",2016,IV (2015—2018),84 452 км,9 записей в отчёте Автотеки,1,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,,Внедорожник 5-дверный,Белый,Левый,XWEP*************,0,1 250 000 ₽ — цена ниже Авито Оценки,9 записей с 2018 года,ДТП не найдены,1 владелец по ПТС,1 запись с описанием работ,1 раз продавался на Авито,Зябликово:11–15 мин.;Красногвардейская:16–20 мин.;Домодедовская:16–20 мин.,Оригинал
"Lexus LX 4.5 AT, 2016, 158 430 км, с пробегом, цена 6 195 000 руб. - Автомобили в Москве",2016,J200 рестайлинг 2 (2015—2023),158 430 км,35 записей в отчёте Автотеки,2,Не битый,LX 450d 4.5 4WD AT (272 л.с.) Arctic Trucks,4.5 л,Дизель,Автомат,Полный,Arctic Trucks,Внедорожник 5-дверный,Белый,Левый,JTJC*************,Возможен,,35 записей с 2017 года,,,35 записей с описанием работ,1 раз продавался на Авито,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица Старокачаловская:21–30 мин.,
"BMW 5 серия 2.0 AT, 2022, 8 700 км, с пробегом, цена 6 700 000 руб. - Автомобили в Москве",2022,G30/G31 рестайлинг (2020—2024),8 700 км,2 записи в отчёте Автотеки,1,Не битый,530i 2.0 xDrive Steptronic (249 л.с.),2 л,Бензин,Автомат,Полный,M Sport Plus,Седан,Чёрный,Левый,WBA3*************,Не интересует,,2 записи с 2024 года,ДТП не найдены,,,,Царицыно:от 31 мин.;Домодедовская:от 31 мин.,Электронный
"BMW X3 2.0 AT, 2019, 68 870 км, с пробегом, цена 3 000 000 руб. - Автомобили в Москве",2019,G01 (2017—2021),68 870 км,5 записей в отчёте Автотеки,1,Не битый,30i 2.0 sDrive Steptronic (252 л.с.),2 л,Бензин,Автомат,Задний,xLine,Внедорожник 5-дверный,Белый,Левый,5UXT*************,Не интересует,3 000 000 ₽ — цена ниже Авито Оценки,5 записей с 2021 года,ДТП не найдены,,,3 раза продавался на Авито,Царицыно:от 31 мин.;Домодедовская:от 31 мин.,Электронный
"Mazda CX-5 2.5 AT, 2013, 93 000 км, с пробегом, цена 1 249 000 руб. - Автомобили в Москве",2013,I (2011—2015),93 000 км,5 записей в отчёте Автотеки,1,Не битый,2.5 4WD AT (192 л.с.),2.5 л,Бензин,Автомат,Полный,Active+,Внедорожник 5-дверный,Чёрный,Левый,RUMK*************,Возможен,1 249 000 ₽ — цена ниже Авито Оценки,5 записей с 2016 года,,1 владелец по ПТС,,1 раз продавался на Авито,Варшавская:до 5 мин.;Каховская:16–20 мин.;Чертановская:21–30 мин.,
"Land Rover Range Rover 4.4 AT, 2005, 218 300 км, с пробегом, цена 1 270 000 руб. - Автомобили в Москве",2005,III (2002—2005),218 300 км,12 записей в отчёте Автотеки,4+,Не битый,4.4 AT (286 л.с.),4.4 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,SALM*************,Не интересует,1 320 000 ₽ — цена выше Авито Оценки,12 записей с 2012 года,,5 владельцев по ПТС,1 запись с описанием работ,2 раза продавался на Авито,Сокол:6–10 мин.;Аэропорт:11–15 мин.;Панфиловская:21–30 мин.,Оригинал
"Mazda 6 2.0 AT, 2014, 144 629 км, с пробегом, цена 1 199 000 руб. - Автомобили в Москве",2014,GJ (2012—2015),144 629 км,11 записей в отчёте Автотеки,1,Не битый,2.0 AT (145 л.с.),2 л,Бензин,Автомат,Передний,Active,Седан,Белый,Левый,RUMG*************,Возможен,,11 записей с 2014 года,ДТП не найдены,1 владелец по ПТС,11 записей с описанием работ,,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица академика Янгеля:21–30 мин.,
"Ford Focus 2.0 AT, 2010, 158 411 км, с пробегом, цена 599 000 руб. - Автомобили в Москве",2010,II рестайлинг (2007—2011),158 411 км,16 записей в отчёте Автотеки,1,Не битый,2.0 AT (145 л.с.),2 л,Бензин,Автомат,Передний,Ghia,Седан,Белый,Левый,X9FH*************,Возможен,599 000 ₽ — соответствует оценке Авито,16 записей с 2011 года,,1 владелец по ПТС,15 записей с описанием работ,2 раза продавался на Авито,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица академика Янгеля:21–30 мин.,
"Peugeot 3008 1.6 AT, 2014, 128 000 км, с пробегом, цена 889 000 руб. - Автомобили в Москве",2014,I рестайлинг (2013—2016),128 000 км,6 записей в отчёте Автотеки,2,Не битый,1.6 AT (150 л.с.),1.6 л,Бензин,Автомат,Передний,,Внедорожник 5-дверный,Белый,Левый,VF30*************,Возможен,889 000 ₽ — соответствует оценке Авито,6 записей с 2018 года,,2 владельца по ПТС,,1 раз продавался на Авито,Кантемировская:21–30 мин.;Каширская:21–30 мин.;Царицыно:от 31 мин.,
"BMW 3 серия 2.0 AT, 2018, 97 124 км, с пробегом, цена 2 049 000 руб. - Автомобили в Москве",2018,F30/F31 рестайлинг (2015—2020),97 124 км,19 записей в отчёте Автотеки,2,Не битый,330i 2.0 xDrive Steptronic (249 л.с.),2 л,Бензин,Автомат,Полный,Base,Седан,Синий,Левый,WBA8*************,Возможен,2 049 000 ₽ — цена ниже Авито Оценки,19 записей с 2019 года,ДТП не найдены,2 владельца по ПТС,14 записей с описанием работ,2 раза продавался на Авито,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица Старокачаловская:21–30 мин.,
"Mercedes-Benz E-класс 3.5 AT, 2012, 159 000 км, с пробегом, цена 1 449 000 руб. - Автомобили в Москве",2012,W212/S212/C207/A207 (2009—2013),159 000 км,43 записи в отчёте Автотеки,2,Не битый,E 350 3.5 4MATIC 7G-Tronic (306 л.с.),3.5 л,Бензин,Автомат,Полный,,Седан,Коричневый,Левый,WDD2*************,Возможен,1 449 000 ₽ — соответствует оценке Авито,43 записи с 2012 года,ДТП не найдены,,34 записи с описанием работ,3 раза продавался на Авито,Варшавская:до 5 мин.;Каховская:16–20 мин.;Чертановская:21–30 мин.,
"Volkswagen Multivan 2.5 AT, 2008, 189 500 км, с пробегом, цена 1 690 000 руб. - Автомобили в Москве",2008,T5 (2003—2009),189 500 км,6 записей в отчёте Автотеки,3,Не битый,2.5 TDI AT (131 л.с.),2.5 л,Дизель,Автомат,Передний,Базовая,Минивэн,Серый,Левый,WV2Z*************,Не интересует,1 690 000 ₽ — цена выше Авито Оценки,6 записей с 2015 года,,,,,Озёрная:11–15 мин.;Аминьевская:от 31 мин.;Говорово:от 31 мин.,Оригинал
"Mercedes-Benz R-класс 3.5 AT, 2010, 248 996 км, с пробегом, цена 1 490 000 руб. - Автомобили в Москве",2010,W251 рестайлинг 2 (2010—2017),248 996 км,12 записей в отчёте Автотеки,4+,Не битый,R 350 3.5 4MATIC 7G-Tronic (272 л.с.),3.5 л,Бензин,Автомат,Полный,Особая серия,Минивэн,Синий,Левый,WDC2*************,Не интересует,1 490 000 ₽ — цена выше Авито Оценки,12 записей с 2014 года,ДТП не найдены,5 владельцев по ПТС,8 записей с описанием работ,,Орехово:от 31 мин.;Домодедовская:от 31 мин.,Оригинал
"Daewoo Matiz 1.0 MT, 2008, 158 000 км, с пробегом, цена 212 000 руб. - Автомобили в Москве",2008,I рестайлинг (2000—2015),158 000 км,Проверить в Автотеке,2,Не битый,1.0 MT (64 л.с.),1 л,Бензин,Механика,Передний,Best,Хетчбек 5-дверный,Зелёный,Левый,XWB4*************,Не интересует,198 000 ₽ — соответствует оценке Авито,1 запись с 2018 года,ДТП не найдены,2 владельца по ПТС,,,Митино:6–10 мин.;Пятницкое шоссе:21–30 мин.;Волоколамская:21–30 мин.,Оригинал
"УАЗ Patriot 2.7 MT, 2011, 105 000 км, с пробегом, цена 530 000 руб. - Автомобили в Москве",2011,I (2005—2012),105 000 км,14 записей в отчёте Автотеки,3,Не битый,2.7 MT (128 л.с.),2.7 л,Бензин,Механика,Полный,,Внедорожник 5-дверный,Зелёный,Левый,XTT3*************,Не интересует,530 000 ₽ — соответствует оценке Авито,14 записей с 2011 года,ДТП не найдены,3 владельца по ПТС,8 записей с описанием работ,2 раза продавался на Авито,Ховрино:21–30 мин.;Беломорская:от 31 мин.;Яхромская:от 31 мин.,Оригинал
"Mercedes-Benz SLC-класс 2.0 AT, 2019, 86 000 км, с пробегом, цена 3 500 000 руб. - Автомобили в Москве",2019,R172 (2016—2020),86 000 км,,1,Не битый,SLC 300 2.0 9G-TRONIC (245 л.с.),2 л,Бензин,Автомат,Задний,Особая серия,Кабриолет,Золотой,Левый,WDDP*************,Возможен,,,,,,,Юго-Западная:11–15 мин.;Проспект Вернадского:16–20 мин.;Новаторская:21–30 мин.,Электронный
"Volkswagen Polo 1.6 AT, 2019, 136 000 км, с пробегом, цена 1 065 000 руб. - Автомобили в Москве",2019,V рестайлинг (2015—2020),136 000 км,3 записи в отчёте Автотеки,1,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,Joy,Седан,Чёрный,Левый,XW8Z*************,Возможен,1 065 000 ₽ — цена ниже Авито Оценки,3 записи с 2024 года,ДТП не найдены,1 владелец по ПТС,1 запись с описанием работ,1 раз продавался на Авито,Царицыно:от 31 мин.;Пражская:от 31 мин.;Кантемировская:от 31 мин.,
"Kia Optima 2.4 AT, 2019, 69 000 км, с пробегом, цена 1 350 000 руб. - Автомобили в Москве",2019,IV рестайлинг (2018—2020),69 000 км,3 записи в отчёте Автотеки,1,Не битый,2.4 GDI AT (188 л.с.),2.4 л,Бензин,Автомат,Передний,GT Line,Седан,Белый,Левый,XWEG*************,Не интересует,1 350 000 ₽ — цена ниже Авито Оценки,3 записи с 2021 года,ДТП не найдены,1 владелец по ПТС,,,Лесопарковая:до 5 мин.;Аннино:16–20 мин.;Улица Старокачаловская:16–20 мин.,Оригинал
"LiXiang L7 1.5 AT, 2023, 1 км, с пробегом, цена 6 590 000 руб. - Автомобили в Москве",2023,I (2023—2024),1 км,Проверить в Автотеке,1,Не битый,1.5hyb 4WD AT (449 л.с.),1.5 л,Гибрид,Автомат,Полный,Max,Внедорожник 5-дверный,Серый,Левый,HLX3*************,0,6 590 000 ₽ — цена выше Авито Оценки,,ДТП не найдены,1 владелец по ПТС,,,Шелепиха:6–10 мин.;Международная:11–15 мин.;Деловой центр:11–15 мин.,Оригинал
"Toyota Corolla 1.6 CVT, 2019, 95 550 км, с пробегом, цена 1 920 000 руб. - Автомобили в Москве",2019,XII (2018—2024),95 550 км,2 записи в отчёте Автотеки,2,Не битый,1.6 CVT (122 л.с.),1.6 л,Бензин,Вариатор,Передний,Комфорт,Седан,Чёрный,Левый,NMTB*************,Возможен,1 920 000 ₽ — цена выше Авито Оценки,2 записи с 2023 года,,2 владельца по ПТС,,,Домодедовская:до 5 мин.;Красногвардейская:16–20 мин.;Орехово:21–30 мин.,Оригинал
"Hyundai Santa Fe 2.2 AT, 2019, 64 000 км, с пробегом, цена 2 649 000 руб. - Автомобили в Москве",2019,IV (2018—2021),64 000 км,14 записей в отчёте Автотеки,2,Не битый,2.2 CRDi 4WD AT (200 л.с.),2.2 л,Дизель,Автомат,Полный,Black&Brown,Внедорожник 5-дверный,Чёрный,Левый,XWES*************,Возможен,2 649 000 ₽ — цена ниже Авито Оценки,14 записей с 2019 года,ДТП не найдены,,15 записей с описанием работ,3 раза продавался на Авито,Южная:11–15 мин.;Чертановская:21–30 мин.;Пражская:21–30 мин.,
"BMW 3 серия 2.0 AT, 2013, 133 241 км, с пробегом, цена 1 349 000 руб. - Автомобили в Москве",2013,F30/F31 (2011—2015),133 241 км,3 записи в отчёте Автотеки,2,Не битый,320i 2.0 AT (184 л.с.),2 л,Бензин,Автомат,Задний,,Седан,Белый,Левый,X4X3*************,Возможен,1 349 000 ₽ — цена ниже Авито Оценки,3 записи с 2016 года,ДТП не найдены,,,,Аннино:6–10 мин.;Лесопарковая:11–15 мин.;Улица Старокачаловская:21–30 мин.,
